                                   icb_name                                    | icb_code |              practice_name               | practice_code | postcode | total_items | total_actual_cost | avg_cost_per_item | icb_q1_total_actual_cost | icb_q3_total_actual_cost | high_cost_outlier_threshold | amount_above_threshold 
 NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD | QOX      | WESTROP MEDICAL PRACTICE                 | J83002        | SN6 7DN  |       70634 |         617943.60 |              8.75 |                  9054.38 |                185042.14 |                   449023.78 |              168919.82
 NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD                      | QT1      | NEWGATE MEDICAL GROUP                    | C84024        | S80 1HP  |       68968 |         486876.27 |              7.06 |                 11655.40 |                134585.45 |                   318980.54 |              167895.73
 NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD                             | QYG      | MIDDLEWOOD PARTNERSHIP                   | N81022        | SK10 5JH |       60605 |         494452.95 |              8.16 |                  1389.70 |                132873.32 |                   330098.75 |              164354.20
 NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD                             | QHL      | HALL GREEN HEALTH                        | Y00159        | B28 8BG  |       41735 |         427779.26 |             10.25 |                 17277.35 |                118734.33 |                   270919.81 |              156859.45
 NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD                      | QT1      | LARWOOD SURGERY                          | C84001        | S81 0HH  |       69560 |         474728.30 |              6.82 |                 11655.40 |                134585.45 |                   318980.54 |              155747.76
 NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD   | QUY      | MENDIP VALE MEDICAL PRACTICE             | L81086        | BS40 5EL |       76355 |         588645.75 |              7.71 |                  1217.49 |                176329.17 |                   438996.69 |              149649.06
 NHS SUSSEX INTEGRATED CARE BOARD                                              | QNX      | ADUR HEALTH PARTNERSHIP                  | H82023        | BN43 5US |       55359 |         567125.97 |             10.24 |                  1452.98 |                168171.71 |                   418249.81 |              148876.16
 NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD                    | QNC      | LOOMER MEDICAL PARTNERSHIP               | M83723        | ST5 7JS  |       56213 |         511839.78 |              9.11 |                  3893.06 |                147563.34 |                   363068.76 |              148771.02
 NHS WEST YORKSHIRE INTEGRATED CARE BOARD                                      | QWO      | HEALTH CARE FIRST PARTNERSHIP            | B87030        | LS26 9AA |       67605 |         530296.25 |              7.84 |                  1283.38 |                154723.26 |                   384883.07 |              145413.18
 NHS FRIMLEY INTEGRATED CARE BOARD                                             | QNQ      | RINGMEAD MEDICAL GROUP                   | K81030        | RG12 7WW |       47912 |         496002.99 |             10.35 |                  8178.58 |                146143.08 |                   353089.81 |              142913.18
 NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD                        | QE1      | APPLIANCE PRESCRIPTION SERVICE           | Y05679        | BB12 8EA |        7627 |         516187.88 |             67.68 |                  8686.99 |                155374.33 |                   375405.34 |              140782.54
 NHS SOUTH WEST LONDON INTEGRATED CARE BOARD                                   | QWE      | GRAFTON MEDICAL PARTNERS                 | Y02423        | SW17 0RT |       54521 |         411547.96 |              7.55 |                 26571.21 |                124364.33 |                   271054.01 |              140493.95
 NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD                                 | QMM      | VIDA HEALTHCARE                          | D82044        | PE30 4DY |       75889 |         499504.06 |              6.58 |                 76415.83 |                190180.93 |                   360828.57 |              138675.49
 NHS WEST YORKSHIRE INTEGRATED CARE BOARD                                      | QWO      | WHITE ROSE SURGERY                       | B87016        | WF9 2RD  |       64042 |         519818.45 |              8.12 |                  1283.38 |                154723.26 |                   384883.07 |              134935.38
 NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD                         | QRL      | LIVING WELL PARTNERSHIP                  | J82622        | SO19 9GH |       59706 |         684985.56 |             11.47 |                 15781.71 |                231127.75 |                   554146.82 |              130838.74
 NHS DORSET INTEGRATED CARE BOARD                                              | QVV      | WEYMOUTH BAY MEDICAL PRACTICE            | J81027        | DT4 7BY  |       58751 |         469414.11 |              7.99 |                 74435.18 |                180748.01 |                   340217.26 |              129196.85
